0490100,北海道,北斗市,,
0490101,北海道,北斗市,,追分
0490111,北海道,北斗市,,七重浜
0490121,北海道,北斗市,,久根別
0490122,北海道,北斗市,,東浜
0490131,北海道,北斗市,,富川
0490132,北海道,北斗市,,館野
0490133,北海道,北斗市,,柳沢
0490134,北海道,北斗市,,三好
0490135,北海道,北斗市,,水無
0490136,北海道,北斗市,,峨朗
0490141,北海道,北斗市,,谷好
0490142,北海道,北斗市,,昭和
0490143,北海道,北斗市,,公園通
0490151,北海道,北斗市,,桜岱
0490152,北海道,北斗市,,押上
0490153,北海道,北斗市,,大工川
0490154,北海道,北斗市,,添山
0490155,北海道,北斗市,,中野
0490156,北海道,北斗市,,中野通
0490157,北海道,北斗市,,清川
0490158,北海道,北斗市,,野崎
0490161,北海道,北斗市,,飯生
0490162,北海道,北斗市,,中央
0490171,北海道,北斗市,,常盤
0490192,北海道,北斗市,,中央1-3-10
0490193,北海道,北斗市,,谷好1-151
0490281,北海道,北斗市,,茂辺地
0490282,北海道,北斗市,,当別
0490283,北海道,北斗市,,三ツ石
0490284,北海道,北斗市,,湯ノ沢
0490285,北海道,北斗市,,茂辺地市ノ渡
0490286,北海道,北斗市,,矢不来
0490400,北海道,上磯郡,木古内町,
0490401,北海道,上磯郡,木古内町,大釜谷
0490402,北海道,上磯郡,木古内町,御宮野
0490403,北海道,上磯郡,木古内町,釜谷
0490404,北海道,上磯郡,木古内町,亀川
0490405,北海道,上磯郡,木古内町,泉沢
0490406,北海道,上磯郡,木古内町,二乃岱
0490407,北海道,上磯郡,木古内町,橋呉
0490408,北海道,上磯郡,木古内町,幸連
0490411,北海道,上磯郡,木古内町,札苅
0490412,北海道,上磯郡,木古内町,大平
0490421,北海道,上磯郡,木古内町,前浜
0490422,北海道,上磯郡,木古内町,本町
0490431,北海道,上磯郡,木古内町,木古内
0490441,北海道,上磯郡,木古内町,中野
0490451,北海道,上磯郡,木古内町,新道
0490452,北海道,上磯郡,木古内町,建川
0490453,北海道,上磯郡,木古内町,大川
0490454,北海道,上磯郡,木古内町,瓜谷
0490455,北海道,上磯郡,木古内町,鶴岡
0490561,北海道,檜山郡,上ノ国町,神明
0490562,北海道,檜山郡,上ノ国町,湯ノ岱
0490563,北海道,檜山郡,上ノ国町,宮越
0490564,北海道,檜山郡,上ノ国町,早瀬
0490600,北海道,檜山郡,上ノ国町,
0490601,北海道,檜山郡,上ノ国町,勝山
0490602,北海道,檜山郡,上ノ国町,原歌
0490603,北海道,檜山郡,上ノ国町,大崎
0490604,北海道,檜山郡,上ノ国町,大安在
0490605,北海道,檜山郡,上ノ国町,小安在
0490606,北海道,檜山郡,上ノ国町,木ノ子
0490607,北海道,檜山郡,上ノ国町,扇石
0490608,北海道,檜山郡,上ノ国町,汐吹
0490611,北海道,檜山郡,上ノ国町,大留
0490612,北海道,檜山郡,上ノ国町,上ノ国
0490613,北海道,檜山郡,上ノ国町,向浜
0490621,北海道,檜山郡,上ノ国町,内郷
0490622,北海道,檜山郡,上ノ国町,北村
0490623,北海道,檜山郡,上ノ国町,新村
0490624,北海道,檜山郡,上ノ国町,中須田
0490625,北海道,檜山郡,上ノ国町,豊田
